Consumer,Frequency,Gender,Age,Homesize,Work,Income,Preference,Sweetness,BITTER,Crisp,sens1,sens2,product
168,1,2,4,3,7,2,4,2,4,2,6.682682581,-2.541967427,Bolero_E
168,1,2,4,3,7,2,5,5,2,6,6.44115938,3.538032306,Bolero_L
168,1,2,4,3,7,2,4,2,2,3,-1.948242663,-4.2903897,Major_E
168,1,2,4,3,7,2,7,6,2,6,0.481107608,-1.331679381,Major_L
168,1,2,4,3,7,2,5,4,2,4,2.180890883,-4.670070418,Navar_E
168,1,2,4,3,7,2,6,6,2,5,2.078225118,3.414982277,Navar_L
168,1,2,4,3,7,2,5,3,2,5,-4.078251216,-1.249329138,Nelson_E
168,1,2,4,3,7,2,6,6,2,6,0.789331742,6.42021138,Nelson_L
168,1,2,4,3,7,2,5,4,1,5,-0.592235283,-4.415712623,Turbo_E
168,1,2,4,3,7,2,6,4,2,4,0.465522145,1.32344672,Turbo_L
168,1,2,4,3,7,2,4,2,3,3,-6.240110102,-1.115678747,Yukon_E
168,1,2,4,3,7,2,5,5,3,6,-6.260080193,4.918154752,Yukon_L
169,1,1,4,3,7,2,6,5,1,5,6.682682581,-2.541967427,Bolero_E
169,1,1,4,3,7,2,6,6,1,4,6.44115938,3.538032306,Bolero_L
169,1,1,4,3,7,2,5,2,2,3,-1.948242663,-4.2903897,Major_E
169,1,1,4,3,7,2,5,3,2,2,0.481107608,-1.331679381,Major_L
169,1,1,4,3,7,2,5,5,2,2,2.180890883,-4.670070418,Navar_E
169,1,1,4,3,7,2,5,2,2,4,2.078225118,3.414982277,Navar_L
169,1,1,4,3,7,2,5,2,2,3,-4.078251216,-1.249329138,Nelson_E
169,1,1,4,3,7,2,4,2,5,2,0.789331742,6.42021138,Nelson_L
169,1,1,4,3,7,2,6,4,1,2,-0.592235283,-4.415712623,Turbo_E
169,1,1,4,3,7,2,3,2,3,2,0.465522145,1.32344672,Turbo_L
169,1,1,4,3,7,2,6,5,1,3,-6.240110102,-1.115678747,Yukon_E
169,1,1,4,3,7,2,5,3,2,3,-6.260080193,4.918154752,Yukon_L
171,1,1,2,3,2,3,4,3,3,6,6.682682581,-2.541967427,Bolero_E
171,1,1,2,3,2,3,5,2,1,3,6.44115938,3.538032306,Bolero_L
171,1,1,2,3,2,3,4,2,3,2,-1.948242663,-4.2903897,Major_E
171,1,1,2,3,2,3,5,5,3,6,0.481107608,-1.331679381,Major_L
171,1,1,2,3,2,3,5,3,1,3,2.180890883,-4.670070418,Navar_E
171,1,1,2,3,2,3,5,2,5,4,2.078225118,3.414982277,Navar_L
171,1,1,2,3,2,3,6,6,1,6,-4.078251216,-1.249329138,Nelson_E
171,1,1,2,3,2,3,7,5,2,5,0.789331742,6.42021138,Nelson_L
171,1,1,2,3,2,3,4,2,5,2,-0.592235283,-4.415712623,Turbo_E
171,1,1,2,3,2,3,7,6,2,6,0.465522145,1.32344672,Turbo_L
171,1,1,2,3,2,3,5,4,3,5,-6.240110102,-1.115678747,Yukon_E
171,1,1,2,3,2,3,5,4,1,4,-6.260080193,4.918154752,Yukon_L
172,1,1,3,1,7,1,5,4,2,4,6.682682581,-2.541967427,Bolero_E
172,1,1,3,1,7,1,5,6,2,5,6.44115938,3.538032306,Bolero_L
172,1,1,3,1,7,1,3,3,6,3,-1.948242663,-4.2903897,Major_E
172,1,1,3,1,7,1,3,3,6,4,0.481107608,-1.331679381,Major_L
172,1,1,3,1,7,1,7,3,3,3,2.180890883,-4.670070418,Navar_E
172,1,1,3,1,7,1,4,4,5,5,2.078225118,3.414982277,Navar_L
172,1,1,3,1,7,1,6,5,2,5,-4.078251216,-1.249329138,Nelson_E
172,1,1,3,1,7,1,6,5,2,6,0.789331742,6.42021138,Nelson_L
172,1,1,3,1,7,1,3,NA,5,4,-0.592235283,-4.415712623,Turbo_E
172,1,1,3,1,7,1,5,5,3,5,0.465522145,1.32344672,Turbo_L
172,1,1,3,1,7,1,4,4,4,3,-6.240110102,-1.115678747,Yukon_E
172,1,1,3,1,7,1,6,5,2,5,-6.260080193,4.918154752,Yukon_L
173,1,1,3,1,5,3,7,4,1,3,6.682682581,-2.541967427,Bolero_E
173,1,1,3,1,5,3,5,5,1,1,6.44115938,3.538032306,Bolero_L
173,1,1,3,1,5,3,4,1,2,1,-1.948242663,-4.2903897,Major_E
173,1,1,3,1,5,3,6,5,1,2,0.481107608,-1.331679381,Major_L
173,1,1,3,1,5,3,4,2,1,2,2.180890883,-4.670070418,Navar_E
173,1,1,3,1,5,3,4,3,1,1,2.078225118,3.414982277,Navar_L
173,1,1,3,1,5,3,4,1,2,2,-4.078251216,-1.249329138,Nelson_E
